,id,created_at,order_id,name,variation_name,quantity,base_price_money,total_money
0,Be3AI5WgsqNBp4U0rLCqhxZe1h8YY,2024-08-25 14:58:22.550,a7HL7cfqvAhqyavKaaT7jn2nRgCZY,Enhypen-Romance : Untold,Regular,1,39.95,39.95
1,vj8FD7lPvHhBIZNGRSU2uoKFUZ9YY,2024-08-25 11:37:29.474,4o0OxamlRzrtAd34dtlWl5hpc2eZY,,,1,5.0,5.0
2,vNJrGmtCUg5P7CAVS0cEcdHhuaB,2024-08-24 15:33:31.149,MSWZL9OBVkLqyZaHiGb7oR8eV,Seventeen - Best Album 17 Is Right Here (Random Ver.),Regular,1,49.95,49.95
3,HT8mW6qQ5gi3C8xaftQCBgMkvaB,2024-08-24 15:31:54.744,s4jgAwz6MldGo5YWfqYh3YpeV,Seventeen - Best Album 17 Is Right Here (Random Ver.),Regular,1,49.95,49.95
4,jPfwUcaeTodVcbls7oB5mhWguaB,2024-08-24 11:49:07.725,WVlhxK0VRxv9j0FPXlRiEbteV,Twice With You-th (Random Ver.),Regular,1,35.95,35.95
5,71Y4TXOH0jzOxmNz0IDOZ1IKfp9YY,2024-08-22 16:37:48.847,cawilfA7zBHZsB68RDKG7ZnU5BKZY,Stray Kids ATE (Accordion Ver.),Regular,1,38.95,32.0
6,FYND3v4LYgxmh7VlOwbx7Sn2uaB,2024-08-22 11:56:45.395,kwvPSNeAlKXBssNived9XVAfV,Stray Kids ATE (Accordion Ver.),Regular,1,38.95,38.95
7,3JtLY2A7cOjkaa9CJC2qcCsDuaB,2024-08-21 16:06:43.297,IAEcrhzbpYI7fzJVh4IKkAseV,ATEEZ [GOLDEN HOUR: Part 1],Golden Hour : Part.1 10th Mini Album+Extra Photocards Set,1,39.95,39.95
8,rDh73Slscah5YGcTcThKElFBwaB,2024-08-20 14:30:52.704,ul5Yw6oIa1GmbPj7SsGSyhweV,"Stray Kids Rock-Star (Rock, Roll Ver.)",Regular,1,37.95,37.95
9,Z0sg0Hd4MlbAOzSS6XOttQcAvaB,2024-08-18 16:42:21.683,42PGPojOsEmXsh4Dhi6eZ0geV,Seventeen - Best Album 17 Is Right Here (Random Ver.),Regular,1,49.95,42.0
10,fvCnpzOMF8aNmTsGogGl0C1guaB,2024-08-18 16:13:48.984,ulnfAc7IgSsbV4vpJ3Yr8DmeV,Ateez The World EP.FIN : Will (Platform Ver.),Regular,1,23.95,23.95
11,1YNttNoMwo6CBwDB1UWpGuKgrUCZY,2024-08-18 15:05:42.747,SjV97D5BoGhBdPCDGzEhJk2T6VYZY,,,1,5.0,5.0
12,dCwfYPIGGzal2OYSz9iqYyXPr2IZY,2024-08-18 15:02:02.784,OLoAT8YMJgAS9pbxImqLdMw9MCJZY,,,1,10.0,10.0
13,p4KaXkEKm6zdQFKOn0b0oZlsxeJZY,2024-08-18 14:54:42.707,q96UGGLjsq7pfkPyTSEPpemqVYEZY,,,1,10.0,10.0
14,vBJG4JtIhYO9nSgDNdPTjbYOuaB,2024-08-18 14:45:19.533,EqmIqLFoDSBkT2KOFc81KYgeV,Seventeen - Best Album 17 Is Right Here (Random Ver.),Regular,1,49.95,49.95
15,H1fFLf4ckJMDj9inw4FsGT4DuRHZY,2024-08-18 13:10:22.502,wuLbPalbOZM4qrDz1ENqVmktyfdZY,,,1,5.0,5.0
16,9kXQBreoW5ASBQ5jTDXQI8WOWcFZY,2024-08-18 12:56:01.647,qpeJrDuQ1QY2EoA935RAHN7FfgEZY,,,1,10.0,10.0
17,9kXQBreoW5ASBQ5jTDXQI8WOWcFZY,2024-08-18 12:56:01.647,qpeJrDuQ1QY2EoA935RAHN7FfgEZY,,,1,5.0,5.0
18,d68DgeHGr6Iq7OxsP47TzsetuaB,2024-08-18 12:20:43.819,wmbDNKneu7wm4hCJUUNUCnoeV,,,2,5.0,10.0
19,liC5UVRLd1DZDDnNc3G8146Dh2MZY,2024-08-18 11:47:49.556,SVa5vfjJINV5pvXKe3VGJRlHxrDZY,,,1,10.0,10.0
20,DnVvVfduIvvi7qTaVywqjc8zvaB,2024-08-17 16:34:48.116,635V2N8JSyeGFsmSFYFeMGreV,Zerobaseone 3rd Mini Album [You Had Me at Hello] (Random),Regular,1,39.95,39.95
21,7NYggGOZVGnlBM5oE6HnhUrrvaB,2024-08-16 16:21:40.468,MmAboDEzFXp4T64XmE5yZNleV,,,1,5.0,5.0
22,9EbEm3el5elPWxJZSr5oftVcuaB,2024-08-16 14:56:07.044,GrOydtPkNv2vsj3MSGpgjoreV,,,1,5.0,5.0
23,jFi6zqGLGY7oRqJAzEmEt24TnYGZY,2024-08-16 11:38:10.833,qtwbyiZOCRXrYHScvhX9TPRmYWPZY,Enhypen-Romance : Untold,Regular,1,39.95,39.95
24,BShw4Fnk9boOtwyzPBXrBzIKvaB,2024-08-16 11:11:26.775,gw60QMakDR2mef0eUwGlP4meV,BTS Jimin Face (Random Ver.),Regular,1,39.95,39.95
